"","theme","rule","property","value","important"
"1","ambiance",".ace_comment","color","#555555",FALSE
"2","ambiance",".ace_constant.ace_language","color","#CF7EA9",FALSE
"3","ambiance",".ace_editor","color","#E6E1DC",FALSE
"4","ambiance",".ace_editor","background-color","#202020",FALSE
"5","ambiance",".ace_keyword","color","#cda869",FALSE
"6","ambiance",".ace_keyword.ace_operator","color","#fa8d6a",FALSE
"7","ambiance",".ace_string","color","#8f9d6a",FALSE
"8","chaos",".ace_comment","color","#555555",FALSE
"9","chaos",".ace_constant.ace_language","color","#FDC251",FALSE
"10","chaos",".ace_editor","background-color","#161616",FALSE
"11","chaos",".ace_editor","color","#E6E1DC",FALSE
"12","chaos",".ace_keyword","color","#00698F",FALSE
"13","chaos",".ace_keyword.ace_operator","color","#FF308F",FALSE
"14","chaos",".ace_string","color","#58C554",FALSE
"15","chrome",".ace_comment","color","#236e24",FALSE
"16","chrome",".ace_constant.ace_language","color","#585CF6",FALSE
"17","chrome",".ace_editor","background-color","#FFFFFF",FALSE
"18","chrome",".ace_editor","color","black",FALSE
"19","chrome",".ace_keyword","color","#930F80",FALSE
"20","chrome",".ace_keyword.ace_operator","color","#687687",FALSE
"21","chrome",".ace_string","color","#1A1AA6",FALSE
"22","clouds",".ace_comment","color","#BCC8BA",FALSE
"23","clouds",".ace_constant.ace_language","color","#39946A",FALSE
"24","clouds",".ace_editor","background-color","#FFFFFF",FALSE
"25","clouds",".ace_editor","color","#000000",FALSE
"26","clouds",".ace_keyword","color","#AF956F",FALSE
"27","clouds",".ace_keyword","color","#800080",TRUE
"28","clouds",".ace_keyword.ace_operator","color","#484848",FALSE
"29","clouds",".ace_keyword.ace_operator","color","#888888",TRUE
"30","clouds",".ace_string","color","#5D90CD",FALSE
"31","clouds_midnight",".ace_comment","color","#3C403B",FALSE
"32","clouds_midnight",".ace_constant.ace_language","color","#39946A",FALSE
"33","clouds_midnight",".ace_editor","background-color","#191919",FALSE
"34","clouds_midnight",".ace_editor","color","#929292",FALSE
"35","clouds_midnight",".ace_keyword","color","#927C5D",FALSE
"36","clouds_midnight",".ace_keyword.ace_operator","color","#4B4B4B",FALSE
"37","clouds_midnight",".ace_keyword.ace_operator","color","#A53553",TRUE
"38","clouds_midnight",".ace_string","color","#5D90CD",FALSE
"39","cobalt",".ace_comment","color","#0088FF",FALSE
"40","cobalt",".ace_editor","background-color","#002240",FALSE
"41","cobalt",".ace_editor","color","#FFFFFF",FALSE
"42","cobalt",".ace_keyword","color","#FF9D00",FALSE
"43","cobalt",".ace_keyword.ace_operator","color","#BED6FF",TRUE
"44","cobalt",".ace_string","color","#3AD900",FALSE
"45","crimson_editor",".ace_comment","color","#4C886B",FALSE
"46","crimson_editor",".ace_constant.ace_language","color","#FF9C00",FALSE
"47","crimson_editor",".ace_editor","background-color","#FFFFFF",FALSE
"48","crimson_editor",".ace_editor","color","#404040",FALSE
"49","crimson_editor",".ace_keyword","color","blue",FALSE
"50","crimson_editor",".ace_keyword.ace_operator","color","#318495",FALSE
"51","crimson_editor",".ace_string","color","#800080",FALSE
"52","dawn",".ace_comment","color","#5A525F",FALSE
"53","dawn",".ace_editor","background-color","#F9F9F9",FALSE
"54","dawn",".ace_editor","color","#080808",FALSE
"55","dawn",".ace_keyword","color","#794938",FALSE
"56","dawn",".ace_keyword.ace_operator","color","#888888",TRUE
"57","dawn",".ace_string","color","#0B6125",FALSE
"58","dracula",".ace_comment","color","#6272a4",FALSE
"59","dracula",".ace_constant.ace_language","color","#bd93f9",FALSE
"60","dracula",".ace_editor","background-color","#282a36",FALSE
"61","dracula",".ace_editor","color","#f8f8f2",FALSE
"62","dracula",".ace_keyword","color","#ff79c6",FALSE
"63","dracula",".ace_keyword.ace_operator","color","#81A2BE",TRUE
"64","dracula",".ace_string","color","#f1fa8c",FALSE
"65","dreamweaver",".ace_comment","color","#4C886B",FALSE
"66","dreamweaver",".ace_constant.ace_language","color","#585CF6",FALSE
"67","dreamweaver",".ace_editor","background-color","#FFFFFF",FALSE
"68","dreamweaver",".ace_editor","color","black",FALSE
"69","dreamweaver",".ace_keyword","color","blue",FALSE
"70","dreamweaver",".ace_keyword.ace_operator","color","#687687",FALSE
"71","dreamweaver",".ace_string","color","#0000FF",FALSE
"72","eclipse",".ace_comment","color","#719682",FALSE
"73","eclipse",".ace_editor","background-color","#FFFFFF",FALSE
"74","eclipse",".ace_editor","color","black",FALSE
"75","eclipse",".ace_keyword","color","#7F0055",FALSE
"76","eclipse",".ace_keyword","color","#800080",TRUE
"77","eclipse",".ace_keyword.ace_operator","color","#888888",TRUE
"78","eclipse",".ace_string","color","#2A00FF",FALSE
"79","idle_fingers",".ace_comment","color","#BC9458",FALSE
"80","idle_fingers",".ace_editor","background-color","#323232",FALSE
"81","idle_fingers",".ace_editor","color","#FFFFFF",FALSE
"82","idle_fingers",".ace_keyword","color","#CC7833",FALSE
"83","idle_fingers",".ace_keyword.ace_operator","color","#6892B2",TRUE
"84","idle_fingers",".ace_string","color","#A5C261",FALSE
"85","katzenmilch",".ace_comment","color","#404F50AA",FALSE
"86","katzenmilch",".ace_constant.ace_language","color","#7D7e52",FALSE
"87","katzenmilch",".ace_editor","background-color","#f3f2f3",FALSE
"88","katzenmilch",".ace_editor","color","#0F0009FF",FALSE
"89","katzenmilch",".ace_keyword","color","#674Aa8",FALSE
"90","katzenmilch",".ace_keyword.ace_operator","color","#888888",TRUE
"91","katzenmilch",".ace_string","color","#5a5f9b",FALSE
"92","kr_theme",".ace_comment","color","#706D5B",FALSE
"93","kr_theme",".ace_editor","background-color","#0B0A09",FALSE
"94","kr_theme",".ace_editor","color","#FCFFE0",FALSE
"95","kr_theme",".ace_keyword","color","#949C8B",FALSE
"96","kr_theme",".ace_keyword.ace_operator","color","#A56464",TRUE
"97","kr_theme",".ace_string","color","#A4A1B5CC",FALSE
"98","material",".ace_comment","color","#707880",FALSE
"99","material",".ace_constant.ace_language","color","#9D94BB",FALSE
"100","material",".ace_editor","background-color","#263238",FALSE
"101","material",".ace_editor","color","#C5C8C6",FALSE
"102","material",".ace_keyword","color","#DE935F",FALSE
"103","material",".ace_keyword.ace_operator","color","#81A2BE",TRUE
"104","material",".ace_string","color","#B5BD68",FALSE
"105","merbivore",".ace_comment","color","#AD2EA4",FALSE
"106","merbivore",".ace_constant.ace_language","color","#FDC251",FALSE
"107","merbivore",".ace_editor","background-color","#161616",FALSE
"108","merbivore",".ace_editor","color","#E6E1DC",FALSE
"109","merbivore",".ace_keyword","color","#FC6F09",FALSE
"110","merbivore",".ace_keyword.ace_operator","color","#AAAAAA",TRUE
"111","merbivore",".ace_string","color","#8DFF0A",FALSE
"112","merbivore_soft",".ace_comment","color","#AC4BB8",FALSE
"113","merbivore_soft",".ace_constant.ace_language","color","#E1C582",FALSE
"114","merbivore_soft",".ace_editor","background-color","#1C1C1C",FALSE
"115","merbivore_soft",".ace_editor","color","#E6E1DC",FALSE
"116","merbivore_soft",".ace_keyword","color","#FC803A",FALSE
"117","merbivore_soft",".ace_keyword.ace_operator","color","#AAAAAA",TRUE
"118","merbivore_soft",".ace_string","color","#8EC65F",FALSE
"119","mono_industrial",".ace_comment","color","#666C68",FALSE
"120","mono_industrial",".ace_comment","background-color","#151C19",FALSE
"121","mono_industrial",".ace_editor","background-color","#222C28",FALSE
"122","mono_industrial",".ace_editor","color","#FFFFFF",FALSE
"123","mono_industrial",".ace_keyword","color","#A39E64",FALSE
"124","mono_industrial",".ace_keyword.ace_operator","color","#A8B3AB",FALSE
"125","mono_industrial",".ace_string","background-color","#151C19",FALSE
"126","mono_industrial",".ace_string","color","#FFFFFF",FALSE
"127","monokai",".ace_comment","color","#75715E",FALSE
"128","monokai",".ace_constant.ace_language","color","#AE81FF",FALSE
"129","monokai",".ace_editor","background-color","#272822",FALSE
"130","monokai",".ace_editor","color","#F8F8F2",FALSE
"131","monokai",".ace_keyword","color","#F92672",FALSE
"132","monokai",".ace_keyword.ace_operator","color","#AAAAAA",TRUE
"133","monokai",".ace_string","color","#E6DB74",FALSE
"134","pastel_on_dark",".ace_comment","color","#A6C6FF",FALSE
"135","pastel_on_dark",".ace_constant.ace_language","color","#DE8E30",FALSE
"136","pastel_on_dark",".ace_editor","background-color","#2C2828",FALSE
"137","pastel_on_dark",".ace_editor","color","#8F938F",FALSE
"138","pastel_on_dark",".ace_editor","color","#EAEAEA",TRUE
