theme,rule,value
ambiance,comment,#555555
ambiance,const_lang,#CF7EA9
ambiance,base_text,#E6E1DC
ambiance,background,#202020
ambiance,keyword,#cda869
ambiance,operator,#fa8d6a
ambiance,string,#8f9d6a
chaos,comment,#555555
chaos,const_lang,#FDC251
chaos,background,#161616
chaos,base_text,#E6E1DC
chaos,keyword,#00698F
chaos,operator,#FF308F
chaos,string,#58C554
chrome,comment,#236e24
chrome,const_lang,#585CF6
chrome,background,#FFFFFF
chrome,base_text,#000000
chrome,keyword,#930F80
chrome,operator,#687687
chrome,string,#1A1AA6
clouds,comment,#BCC8BA
clouds,const_lang,#39946A
clouds,background,#FFFFFF
clouds,base_text,#000000
clouds,keyword,#800080
clouds,operator,#888888
clouds,string,#5D90CD
clouds_midnight,comment,#3C403B
clouds_midnight,const_lang,#39946A
clouds_midnight,background,#191919
clouds_midnight,base_text,#929292
clouds_midnight,keyword,#927C5D
clouds_midnight,operator,#A53553
clouds_midnight,string,#5D90CD
cobalt,comment,#0088FF
cobalt,const_lang,#FF628C
cobalt,background,#002240
cobalt,base_text,#FFFFFF
cobalt,keyword,#FF9D00
cobalt,operator,#BED6FF
cobalt,string,#3AD900
crimson_editor,comment,#4C886B
crimson_editor,const_lang,#FF9C00
crimson_editor,background,#FFFFFF
crimson_editor,base_text,#404040
crimson_editor,keyword,#0000FF
crimson_editor,operator,#318495
crimson_editor,string,#800080
dawn,comment,#5A525F
dawn,const_lang,#811F24
dawn,background,#F9F9F9
dawn,base_text,#080808
dawn,keyword,#794938
dawn,operator,#888888
dawn,string,#0B6125
dracula,comment,#6272a4
dracula,const_lang,#bd93f9
dracula,background,#282a36
dracula,base_text,#f8f8f2
dracula,keyword,#ff79c6
dracula,operator,#81A2BE
dracula,string,#f1fa8c
dreamweaver,comment,#4C886B
dreamweaver,const_lang,#585CF6
dreamweaver,background,#FFFFFF
dreamweaver,base_text,#000000
dreamweaver,keyword,#0000FF
dreamweaver,operator,#687687
dreamweaver,string,#0000FF
eclipse,comment,#719682
eclipse,const_lang,#000000
eclipse,background,#FFFFFF
eclipse,base_text,#000000
eclipse,keyword,#800080
eclipse,operator,#888888
eclipse,string,#2A00FF
idle_fingers,comment,#BC9458
idle_fingers,const_lang,#6C99BB
idle_fingers,background,#323232
idle_fingers,base_text,#FFFFFF
idle_fingers,keyword,#CC7833
idle_fingers,operator,#6892B2
idle_fingers,string,#A5C261
katzenmilch,comment,#7f898a
katzenmilch,const_lang,#7D7e52
katzenmilch,background,#f3f2f3
katzenmilch,base_text,#0F0009
